name,suite,result,start,end,duration,_type,params,_Device/Browser Version,_Retries,id,batch,num,hash,flaky,reason,tesults_link
should show logo,Header,pass,1679058995025,1679059018672,23647,test,[object Object],108.0.1,0,a6ad05fa-678c-4981-add5-9a5860093a5d-1679046529190-1679059065108,0,0,2d4c319d-5fff-5e99-b0d5-3893095c90a0,false,-,https://www.tesults.com/results/rsp/view/results/case/a6ad05fa-678c-4981-add5-9a5860093a5d-1679046529190-1679059065108-0
should show menu on menu icon click,Header,pass,1679059018678,1679059019075,397,test,[object Object],108.0.1,0,a6ad05fa-678c-4981-add5-9a5860093a5d-1679046529190-1679059065108,0,1,b1ed581d-9ed4-5ec9-a92a-56081d471953,false,-,https://www.tesults.com/results/rsp/view/results/case/a6ad05fa-678c-4981-add5-9a5860093a5d-1679046529190-1679059065108-1
should detect menu close button when element is clickable,Header,pass,1679059019080,1679059030776,11696,test,[object Object],108.0.1,0,a6ad05fa-678c-4981-add5-9a5860093a5d-1679046529190-1679059065108,0,2,baef2e01-48db-56f6-a2cb-128be73ddfb5,false,-,https://www.tesults.com/results/rsp/view/results/case/a6ad05fa-678c-4981-add5-9a5860093a5d-1679046529190-1679059065108-2
menu should be visible on menu icon click in smaller viewports,Mobile viewport,pass,1679058921601,1679058926632,5031,test,[object Object],108.0.1,0,a6ad05fa-678c-4981-add5-9a5860093a5d-1679046529190-1679059065108,0,3,0b115ca7-e622-5088-b77e-3babafebae12,false,-,https://www.tesults.com/results/rsp/view/results/case/a6ad05fa-678c-4981-add5-9a5860093a5d-1679046529190-1679059065108-3
should not load previous and next slide button in smaller viewports,Mobile viewport,pass,1679058926644,1679058956782,30138,test,[object Object],108.0.1,0,a6ad05fa-678c-4981-add5-9a5860093a5d-1679046529190-1679059065108,0,4,73fa4b9d-76e9-5126-aad6-2b6102bc0e6e,false,-,https://www.tesults.com/results/rsp/view/results/case/a6ad05fa-678c-4981-add5-9a5860093a5d-1679046529190-1679059065108-4
should open car's detail page,Car detail's link,pass,1679059052906,1679059063104,10198,test,[object Object],108.0.1,0,a6ad05fa-678c-4981-add5-9a5860093a5d-1679046529190-1679059065108,0,5,5faa32f3-1917-528f-b533-e6264ac205e8,false,-,https://www.tesults.com/results/rsp/view/results/case/a6ad05fa-678c-4981-add5-9a5860093a5d-1679046529190-1679059065108-5
should save full page screenshot,Regression Test - save screenshot,pass,1679058816313,1679058839024,22711,test,[object Object],108.0.1,0,a6ad05fa-678c-4981-add5-9a5860093a5d-1679046529190-1679059065108,0,6,7c624847-5ea7-5725-9787-4141c5fb0cb1,false,-,https://www.tesults.com/results/rsp/view/results/case/a6ad05fa-678c-4981-add5-9a5860093a5d-1679046529190-1679059065108-6
should show logo,Header,pass,1679058977129,1679059002581,25452,test,[object Object],111.0.5563.64,0,a6ad05fa-678c-4981-add5-9a5860093a5d-1679046529190-1679059065108,0,7,861695ec-289f-5857-9e5b-ebec7060849b,false,-,https://www.tesults.com/results/rsp/view/results/case/a6ad05fa-678c-4981-add5-9a5860093a5d-1679046529190-1679059065108-7
should show menu on menu icon click,Header,pass,1679059002586,1679059003741,1155,test,[object Object],111.0.5563.64,0,a6ad05fa-678c-4981-add5-9a5860093a5d-1679046529190-1679059065108,0,8,4853694a-5046-51a8-873a-724c5025c39b,false,-,https://www.tesults.com/results/rsp/view/results/case/a6ad05fa-678c-4981-add5-9a5860093a5d-1679046529190-1679059065108-8
should detect menu close button when element is clickable,Header,pass,1679059003742,1679059010441,6699,test,[object Object],111.0.5563.64,0,a6ad05fa-678c-4981-add5-9a5860093a5d-1679046529190-1679059065108,0,9,ecc2e719-4f49-5c54-bb3a-6af17167c0f7,false,-,https://www.tesults.com/results/rsp/view/results/case/a6ad05fa-678c-4981-add5-9a5860093a5d-1679046529190-1679059065108-9
should start story vidoe by clicking button,Landing page,pass,1679058739672,1679058752924,13252,test,[object Object],111.0.5563.64,0,a6ad05fa-678c-4981-add5-9a5860093a5d-1679046529190-1679059065108,0,10,3177a7af-86f4-5469-846e-a7a835917c94,false,-,https://www.tesults.com/results/rsp/view/results/case/a6ad05fa-678c-4981-add5-9a5860093a5d-1679046529190-1679059065108-10
should start story vidoe by clicking button,Landing page,pass,1679058743469,1679058747946,4477,test,[object Object],108.0.1,0,a6ad05fa-678c-4981-add5-9a5860093a5d-1679046529190-1679059065108,0,11,6b7edc10-2a5d-5493-8284-74d928a86e50,false,-,https://www.tesults.com/results/rsp/view/results/case/a6ad05fa-678c-4981-add5-9a5860093a5d-1679046529190-1679059065108-11
should compare successful with a baseline,Regression Test - compare screenshots,pass,1679058857928,1679058897084,39156,test,[object Object],111.0.5563.64,0,a6ad05fa-678c-4981-add5-9a5860093a5d-1679046529190-1679059065108,0,12,cd190ed8-f1df-5865-be95-fdcf8ca8f643,false,-,https://www.tesults.com/results/rsp/view/results/case/a6ad05fa-678c-4981-add5-9a5860093a5d-1679046529190-1679059065108-12
should open car's detail page,Car detail's link,pass,1679059022199,1679059034504,12305,test,[object Object],111.0.5563.64,0,a6ad05fa-678c-4981-add5-9a5860093a5d-1679046529190-1679059065108,0,13,47831362-2b64-5ef0-90f2-a7e0812db57f,false,-,https://www.tesults.com/results/rsp/view/results/case/a6ad05fa-678c-4981-add5-9a5860093a5d-1679046529190-1679059065108-13
menu should be visible on menu icon click in smaller viewports,Mobile viewport,pass,1679058917674,1679058927388,9714,test,[object Object],111.0.5563.64,0,a6ad05fa-678c-4981-add5-9a5860093a5d-1679046529190-1679059065108,0,14,4a747124-084f-5ef4-a71b-c614624b6abc,false,-,https://www.tesults.com/results/rsp/view/results/case/a6ad05fa-678c-4981-add5-9a5860093a5d-1679046529190-1679059065108-14
should not load previous and next slide button in smaller viewports,Mobile viewport,pass,1679058927392,1679058946906,19514,test,[object Object],111.0.5563.64,0,a6ad05fa-678c-4981-add5-9a5860093a5d-1679046529190-1679059065108,0,15,8a38c352-b8b9-5aed-b98c-e5d6df80dd92,false,-,https://www.tesults.com/results/rsp/view/results/case/a6ad05fa-678c-4981-add5-9a5860093a5d-1679046529190-1679059065108-15
should save full page screenshot,Regression Test - save screenshot,pass,1679058812396,1679058846211,33815,test,[object Object],111.0.5563.64,0,a6ad05fa-678c-4981-add5-9a5860093a5d-1679046529190-1679059065108,0,16,b86cf083-eb38-5bc4-bbc9-455db77043ab,false,-,https://www.tesults.com/results/rsp/view/results/case/a6ad05fa-678c-4981-add5-9a5860093a5d-1679046529190-1679059065108-16
should compare successful with a baseline,Regression Test - compare screenshots,pass,1679058861980,1679058895298,33318,test,[object Object],108.0.1,0,a6ad05fa-678c-4981-add5-9a5860093a5d-1679046529190-1679059065108,0,17,9fab5271-ba34-5c76-8463-baa40cfb4425,false,-,https://www.tesults.com/results/rsp/view/results/case/a6ad05fa-678c-4981-add5-9a5860093a5d-1679046529190-1679059065108-17
should open safety innovation page,Landing page,pass,1679058773327,1679058790218,16891,test,[object Object],108.0.1,0,a6ad05fa-678c-4981-add5-9a5860093a5d-1679046529190-1679059065108,0,18,558d8fb9-a79d-56d1-a6dc-c53925e37dc7,false,-,https://www.tesults.com/results/rsp/view/results/case/a6ad05fa-678c-4981-add5-9a5860093a5d-1679046529190-1679059065108-18
